name	price_xbox	price_ps	price_pc	limit_new	limit_existing	build	category_override	include_without_cobj	skip	notes
Carrot Flower Nectar	10	20	20	30	30					
Carrot Soup	10	20	20	30	30					
Cat Meat Steak									1	auto-added from COBJ; set skip=0 to sell
Cave Fungus Soup									1	auto-added from COBJ; set skip=0 to sell
Chally's Feed									1	auto-added from COBJ; set skip=0 to sell
Challys Feed	30	40	40	30	30	Herbivore	food	1		
Chameleon Serum	100	110	110	50	100					
Charred Scorchbeast Liver	15	25	25	30	30					
Chew Stick									1	auto-added from COBJ; set skip=0 to sell
Chicken Noodle Soup	15	25	25	30	30					
Chitlins Con Carne	20	30	30	30	30					
Coal									1	auto-added from COBJ; set skip=0 to sell
Company Tea	100	110	110	30	30	Herbivore,Hybrid				
Cooked Softshell Meat	15	25	25	30	30					
Copper Scrap									1	auto-added from COBJ; set skip=0 to sell
Corn Pone	25	35	35	30	30					
Corn Soup	10	20	20	30	30					
Corpse Seed Juice	0	10	10	30	30					
Cotton Candy Bites	10	20	20	30	30		food	1		
Crafted Dusty Mole Miner Pail							other			auto-added from ALCH (Other)
Crafted Mole Miner Pail							other			auto-added from ALCH (Other)
Crafted Ornate Mole Miner Pail							other			auto-added from ALCH (Other)
Cram	10	20	20	30	30		food	1		
Cramburger	30	40	40	30	30					
Cranberry Cobbler	10	20	20	30	30					
Cranberry Jam	35	45	45	30	30					
Cranberry Juice	10	20	20	30	30					
Cranberry Meatball Grinder	100	110	110	10	10	Carnivore				
Cranberry Moonshine	25	35	35	50	100		alcohol	1		
Cranberry Relish	25	35	35	30	30	XP,Herbivore,Hybrid				
Crispy Cave Cricket	15	25	25	30	30					
Crispy Flying Ant Bits									1	auto-added from COBJ; set skip=0 to sell
Crispy Squirrel Bits	15	25	25	30	30					
Crystal Shards									1	auto-added from COBJ; set skip=0 to sell
Cultist High Priest Pack							other	1		auto-added from ALCH (Other)
DaddyO	35	45	45	50	100		chem	1		
Dandy Boy Apples	10	20	20	30	30		food	1		
Day Tripper	35	45	45	50	100		chem	1		
Deathclaw Egg Omelette	25	35	35	30	30					
Deathclaw Steak	20	30	30	30	30					
Deathclaw Wellington	100	110	110	10	10	Carnivore				
Disease Cure	25	35	35	50	100					
Dog Meat Steak	25	35	35	30	30	Carnivore				
Double Mutated Package							other	1		auto-added from ALCH (Other)
Double Mutated Party Pack							other	1		auto-added from ALCH (Other)
Dusty Mole Miner Pail							other	1		auto-added from ALCH (Other)
Eagle Eyes Serum	100	110	110	50	100					
Egg Head Serum	100	110	110	50	100					
Electrically Charged Serum	100	110	110	50	100					
Empath Serum	100	110	110	50	100					
Fancy Lad Snack Cakes	10	20	20	30	30		food	1		
Fancy Lads Snack Cakes							food	1		auto-added from ALCH (Pre War Food)
Fasnacht Donut	45	55	55	30	30					
Fasnacht Sausage	30	40	40	30	30					
Fermentable Ballistic Bock							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Beer							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Blackwater Brew							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Bourbon							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Cranberry Moonshine							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable High Voltage Hefe							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Hoppy Hunter IPA							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Lead Champagne							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Liquid Courage							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Mire Magic Moonshine							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Mountain Honey Moonshine							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable New River Red Ale							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Nuka-Cola Dark							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Nukashine							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Oak Holler Lager							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Old Possum							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Pickaxe Pilsner							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Rad Ant Lager							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Rum							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Tick Blood Tequila							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Vodka							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Whiskey							alcohol		0	auto-added from COBJ; set skip=0 to sell
Fermentable Wine							alcohol		0	auto-added from COBJ; set skip=0 to sell
Firecap Soup	20	30	30	30	30					
Firecap Tasty Souffle	35	45	45	30	30					
Firecracker Berry Juice	10	20	20	30	30					
Fish and Tatos	35	45	45	30	30					
Fish Bits									1	auto-added from COBJ; set skip=0 to sell
Fish Chowder	25	35	35	30	30					
Formula P	35	45	45	50	100					
Forrage Porridge									1	auto-added from COBJ; set skip=0 to sell
Fox Jerky	15	25	25	30	30					
Fried Deerskins	30	40	40	30	30					
Fried Fog Crawler	15	25	25	30	30					
Fried Radroach on a Stick	35	45	45	30	30		food	1		
Fried Radtoad Legs	25	35	35	30	30					
Fried Scorpion on a Stick	35	45	45	30	30		food	1		
Frog Jar									1	auto-added from COBJ; set skip=0 to sell
Funnel Cake	10	20	20	30	30		food	1		
Fury	35	45	45	50	100					
Gamma Green Tea	25	35	35	30	30					
Gleaming Depths Weekly Reward Crate							other	1		auto-added from ALCH (Other)
Glowing Blood	0	10	10	50	100		chem	1		
Glowing Blood Pack	55	65	65	50	100					
Glowing Bobblehead: Agility							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Big Guns							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Caps							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Charisma							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Endurance							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Energy Weapons							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Explosive							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Intelligence							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Leader							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Lock Picking							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Luck							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Medicine							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Melee							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Perception							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Repair							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Science							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Small Guns							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Sneak							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Strength							other	1		auto-added from ALCH (Other)
Glowing Bobblehead: Unarmed							other	1		auto-added from ALCH (Other)
Glowing Fungus Puree	25	35	35	30	30	Herbivore,Hybrid				
Glowing Fungus Soup	10	20	20	30	30					
Glowing Meat Steak	30	40	40	30	30					
Gold Scrap									1	auto-added from COBJ; set skip=0 to sell
Gourd Soup	10	20	20	30	30					
Granny's Tea									1	auto-added from COBJ; set skip=0 to sell
Grannys Tea	35	45	45	30	30		food	1		
Grape Mentats	25	35	35	50	100					
Grilled Fish	25	35	35	30	30					
Grilled Hermit Crab	15	25	25	30	30					
Grilled Radhog Chops	25	35	35	30	30					
Grilled Radroach	15	25	25	30	30					
Grilled Radstag	15	25	25	30	30					
Grilled Radtoad	15	25	25	30	30					
Grognak the Barbarian 1							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 10							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 2							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 3							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 4							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 5							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 6							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 7							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 8							other	1		auto-added from ALCH (Other)
Grognak the Barbarian 9							other	1		auto-added from ALCH (Other)
Ground Mole Rat	25	35	35	30	30					
Grounded Serum	100	110	110	50	100					
Gulper Slurry	15	25	25	30	30					
Gulper Stuffed Foot	35	45	45	30	30					
Gum Drops	0	10	10	30	30		food	1		
Guns and Bullets 1							other	1		auto-added from ALCH (Other)
Guns and Bullets 10							other	1		auto-added from ALCH (Other)
Guns and Bullets 2							other	1		auto-added from ALCH (Other)
Guns and Bullets 3							other	1		auto-added from ALCH (Other)
Guns and Bullets 4							other	1		auto-added from ALCH (Other)
Guns and Bullets 5							other	1		auto-added from ALCH (Other)
Guns and Bullets 6							other	1		auto-added from ALCH (Other)
Guns and Bullets 7							other	1		auto-added from ALCH (Other)
Guns and Bullets 8							other	1		auto-added from ALCH (Other)
Guns and Bullets 9							other	1		auto-added from ALCH (Other)
Gut Shroom Soup	25	35	35	30	30					
Halloween Candy	5	15	15	50	100		chem	1		
Handmade Holiday Gift							other			auto-added from ALCH (Other)
Hard Lemonade	15	25	25	50	100		alcohol			
Headhunter's Headcheese									1	auto-added from COBJ; set skip=0 to sell
Headhunters Headcheese	15	25	25	30	30		food	1		
Healing Factor Serum	100	110	110	50	100					
Healing Salve	25	35	35	50	100					
Herbivore Serum	100	110	110	50	100	Hybrid				
Herd Mentality Serum	100	110	110	50	100					
High Radiation Fluids	55	65	65	50	100		chem	1		
High Voltage Hefe	35	45	45	50	100		alcohol	1		
Holiday Gift							other	1		auto-added from ALCH (Other)
Honey	2	12	12	30	30		food	1		
Hoppy Hunter IPA	25	35	35	50	100		alcohol	1		
Hotdog	15	25	25	30	30		food	1		
Iguana On A Stick									1	auto-added from COBJ; set skip=0 to sell
Iguana Soup									1	auto-added from COBJ; set skip=0 to sell
Imitation Seafood	10	20	20	30	30		food	1		
Infused Bloodleaf Tea	30	40	40	30	30					
Infused Soot Flower Tea	25	35	35	30	30	Herbivore,Hybrid				
Insect Repellent	10	20	20	50	100					
Instamash	10	20	20	30	30		food	1		
Irradiated Blood Pack	55	65	65	50	100		chem	1		
Karma Syringe Barrel									1	auto-added from COBJ; set skip=0 to sell
Large Handmade Holiday Gift							other			auto-added from ALCH (Other)
Large Holiday Gift							other	1		auto-added from ALCH (Other)
Large Waterlogged Gift							other	1		auto-added from ALCH (Other)
Lead Champagne	25	35	35	50	100		alcohol	1		
Lead Champagne Bellini	35	45	45	50	100		alcohol			
Lead Champagne Mimosa	35	45	45	50	100		alcohol			
Lead Scrap									1	auto-added from COBJ; set skip=0 to sell
Lemonade	25	35	35	50	100		chem			
Light Mutant Hound Chops	25	35	35	30	30					
Light Mutton Chops	25	35	35	30	30					
Light Yao Guai Ribs	25	35	35	30	30					
Liquid Courage	50	60	60	10	10		alcohol	1		
Live & Love 1							other	1		auto-added from ALCH (Other)
Live & Love 2							other	1		auto-added from ALCH (Other)
Live & Love 3							other	1		auto-added from ALCH (Other)
Live & Love 4							other	1		auto-added from ALCH (Other)
Live & Love 5							other	1		auto-added from ALCH (Other)
Live & Love 6							other	1		auto-added from ALCH (Other)
Live & Love 7							other	1		auto-added from ALCH (Other)
Live & Love 8							other	1		auto-added from ALCH (Other)
Live & Love 9							other	1		auto-added from ALCH (Other)
Marsupial Serum	100	110	110	50	100					
Meat Treats									1	auto-added from COBJ; set skip=0 to sell
Med-X	25	35	35	50	100		chem	1		
Megasloth Mushroom Soup	25	35	35	30	30					
Megasloth Tenderloin	45	55	55	30	30					
Melon Juice	10	20	20	30	30					
Mentats									1	auto-added from COBJ; set skip=0 to sell
Metabolux Syringe							other	1		auto-added from ALCH (Other)
Mirelurk Boil	25	35	35	30	30					
Mirelurk Cake	25	35	35	30	30					
Mirelurk Cake with Bloodleaf Aioli	25	35	35	30	30	Carnivore,Hybrid	food	1		
Mirelurk Egg Omelette	15	25	25	30	30					
Mirelurk Jerky	25	35	35	30	30	Carnivore				
Mirelurk Queen Steak	15	25	25	30	30					
Mirelurk Softshell Cake	25	35	35	30	30					
Mole Miner Pail							other	1		auto-added from ALCH (Other)
Mole Rat Chunks	15	25	25	30	30					
Mole Rat Jerky	35	45	45	30	30		food	1		
Mothman Egg Omelette	25	35	35	30	30	XP,Carnivore				
Mountain Hocks	25	35	35	30	30					
Mud Cookie	30	40	40	30	30					
Mutant Hound Chops	30	40	40	30	30					
Mutated Package							other	1		auto-added from ALCH (Other)
Mutated Party Pack							other	1		auto-added from ALCH (Other)
Mutfruit Juice	10	20	20	30	30					
Mutt Chops	15	25	25	30	30					
Mutton Chops									1	auto-added from COBJ; set skip=0 to sell
Mystery Bobblehead Box							other	1		auto-added from ALCH (Other)
Mystery Magazine Package							other	1		auto-added from ALCH (Other)
Mystery Meat Pie	25	35	35	30	30					
New River Red Ale	10	20	20	50	100		alcohol	1		
Nuclear Waste									1	auto-added from COBJ; set skip=0 to sell
Nuka Bottle Dog	25	35	35	30	30		food	1		
Nuka Cola Cherry	20	30	30	50	100		soda	1		
Nuka Cola Cranberry	35	45	45	30	30	XP	soda	1		
Nuka Cola Dark	35	45	45	50	100	Carnivore	soda	1		
Nuka Cola Grape	35	45	45	50	100		soda	1		
Nuka Cola My Bloods In It	25	35	35	30	30		soda	1		
Nuka Cola Orange	35	45	45	50	100		soda	1		
Nuka Cola Quantum	10	20	20	50	100		soda	1		
Nuka Cola Scorched	25	35	35	30	30		soda	1		
Nuka Cola Twist	35	45	45	30	30		soda	1		
Nuka Cola Vaccinated	25	35	35	30	30		soda	1		
Nuka Cola Wild	35	45	45	50	100		soda	1		
Nuka Dog	25	35	35	30	30		food	1		
Nuka-Bottle Dog									1	auto-added from COBJ; set skip=0 to sell
Nuka-Cola My Blood's In It							soda		1	auto-added from COBJ; set skip=0 to sell
Nuka-Cola Scorched							soda		1	auto-added from COBJ; set skip=0 to sell
Nuka-Cola Vaccinated							soda		1	auto-added from COBJ; set skip=0 to sell
Nuka-Cola Wild							soda	1		auto-added from ALCH (Soda)
Nuka-Dog									1	auto-added from COBJ; set skip=0 to sell
Nuka-Grape							soda	1		auto-added from ALCH (Soda)
Nuka-Orange							soda	1		auto-added from ALCH (Soda)
Nukashine	35	45	45	50	100		alcohol	1		
Oak Holler Lager	10	20	20	50	100		alcohol	1		
Old Possum	10	20	20	50	100		alcohol	1		
Orange Mentats	25	35	35	50	100					
Ornate Mole Miner Pail							other	1		auto-added from ALCH (Other)
Overdrive	45	55	55	50	100					
Owlet Nuggets									1	auto-added from COBJ; set skip=0 to sell
Pemmican	25	35	35	30	30	Carnivore	food	1		
Pepperoni Roll	35	45	45	30	30					
Perfectly Preserved Pie	100	110	110	30	30		food	1		
Pickaxe Pilsner	10	20	20	50	100		alcohol	1		
Pickled Prickeye	35	45	45	30	30					
Plague Walker Serum	100	110	110	50	100					
Poached Angler	15	25	25	30	30	Carnivore				
Pork n Beans	10	20	20	30	30		food	1		
Potato Crisps	10	20	20	30	30		food	1		
Pothole Potpie	20	30	30	30	30					
Precursor 114a									1	internal recipe - not sellable
Precursor 114b									1	internal recipe - not sellable
Precursor 7516a									1	internal recipe - not sellable
Precursor 7516b									1	internal recipe - not sellable
Preserved InstaMash							food	1		auto-added from ALCH (Pre War Food)
Prickeye Salad	25	35	35	30	30					
Psycho	25	35	35	100	200					
Psychobuff	25	35	35	100	200					
Psychotats	25	35	35	100	200		chem	1		
Pumpkin Pie	25	35	35	30	30	Herbivore,Hybrid				
Pumpkin Soup	10	20	20	30	30					
Purified Water	0	10	10	50	100		chem			
Rad Ant Lager	35	45	45	50	100		alcohol	1		
Rad X	5	15	15	50	100		chem	1		
Rad X Diluted	5	15	15	50	100		chem	1		
Rad-X: Diluted									1	auto-added from COBJ; set skip=0 to sell
Radaway	5	15	15	50	100		chem	1		
Radaway Diluted	5	15	15	50	100		chem	1		
RadAway: Diluted									1	auto-added from COBJ; set skip=0 to sell
Radhog Burnt Ends	100	110	110	30	30	Carnivore				
Radrat Steak	15	25	25	30	30					
Radscorpion Egg Omelette	10	20	20	30	30					
Radscorpion Fillet	25	35	35	30	30					
Radscorpion Kebab	35	45	45	30	30	Carnivore				
Radscorpion Steak	15	25	25	30	30					
Radshield	35	45	45	50	100		chem	1		
Radstag Redemption	30	40	40	30	30					
Radstag Stew	25	35	35	30	30					
Radtoad Omelette	15	25	25	30	30					
Raw Fertilizer									1	auto-added from COBJ; set skip=0 to sell
Razorgrain Flour	10	20	20	30	30					
Razorgrain Soup	10	20	20	30	30					
Resuscitation Kit							chem	1		auto-added from ALCH (Chems)
Ribeye Steak	15	25	25	30	30					
Roast Megasloth	25	35	35	30	30					
Roasted Ant	25	35	35	30	30					
Roasted Mirelurk Meat	15	25	25	30	30					
Roasted Scorchbeast Heart	15	25	25	30	30					
Royal Jelly Taffy	20	30	30	30	30					
Rudy's Canned Pozole							canned	1		
Rum	10	20	20	50	100		alcohol	1		
S'mores									1	auto-added from COBJ; set skip=0 to sell
Salisbury Steak	10	20	20	30	30		food	1		
Scaly Skin Serum	100	110	110	50	100					
Scorchbeast Mixed Meat Stew	55	65	65	30	30					
Scorchbeast Steak	55	65	65	30	30					
Scorched Fever Innoculation							chem	1		auto-added from ALCH (Chems)
Scout's Banner							other	1		auto-added from ALCH (Other)
Scouts' Life 1							other	1		auto-added from ALCH (Other)
Scouts' Life 10							other	1		auto-added from ALCH (Other)
Scouts' Life 2							other	1		auto-added from ALCH (Other)
Scouts' Life 3							other	1		auto-added from ALCH (Other)
Scouts' Life 4							other	1		auto-added from ALCH (Other)
Scouts' Life 5							other	1		auto-added from ALCH (Other)
Scouts' Life 6							other	1		auto-added from ALCH (Other)
Scouts' Life 7							other	1		auto-added from ALCH (Other)
Scouts' Life 8							other	1		auto-added from ALCH (Other)
Scouts' Life 9							other	1		auto-added from ALCH (Other)
Seared Venison with Berries	25	35	35	30	30	Carnivore,Hybrid	food	1		
Seasoned Rabbit Skewers	15	25	25	30	30					
Seed Feed									1	auto-added from COBJ; set skip=0 to sell
Silt Bean Puree	25	35	35	30	30	Herbivore,Hybrid				
Silt Bean Soup	15	25	25	30	30					
Silver Scrap									1	auto-added from COBJ; set skip=0 to sell
Simple Ash Rose Tea	10	20	20	30	30					
Simple Aster Tea	25	35	35	30	30					
Simple Bloodleaf Tea	10	20	20	30	30					
Simple Fern Flower Tea	10	20	20	30	30					
Simple Gut Shroom Tea	15	25	25	30	30					
Simple Soot Flower Tea	10	20	20	30	30					
Skeeto Spit									1	auto-added from COBJ; set skip=0 to sell
Small Handmade Holiday Gift							other			auto-added from ALCH (Other)
Small Holiday Gift							other	1		auto-added from ALCH (Other)
Small Waterlogged Gift							other	1		auto-added from ALCH (Other)
Smoked Mirelurk Fillets	25	35	35	30	30	Carnivore,Hybrid				
Smoked Scorchbeast Lung	15	25	25	30	30					
Smores	45	55	55	30	30		food	1		
Solvent Attractant									1	internal recipe - not sellable
Solvent Deterrant									1	internal recipe - not sellable
Solvent Enhancer									1	internal recipe - not sellable
Solvent Suppressor									1	internal recipe - not sellable
Soot Flower Herb Paste	10	20	20	30	30					
Speed Demon Serum	100	110	110	50	100					
Spoiled Brahmin Milk	5	15	15	30	30		food	1		
Spooky Treat Bag							other	1		auto-added from ALCH (Other)
Squirrel on a Stick	25	35	35	30	30	Carnivore	food	1		
Stable Cobalt Flux									1	auto-added from COBJ; set skip=0 to sell
Stable Crimson Flux									1	auto-added from COBJ; set skip=0 to sell
Stable Fluorescent Flux									1	auto-added from COBJ; set skip=0 to sell
Stable Violet Flux									1	auto-added from COBJ; set skip=0 to sell
Stable Yellowcake Flux									1	auto-added from COBJ; set skip=0 to sell
Star Size Sunset Sarsaparilla							soda	1		auto-added from ALCH (Soda)
Starlight Berry Cobbler	10	20	20	30	30					
Steak Sticks									1	auto-added from COBJ; set skip=0 to sell
Stealth Boy							chem	1		auto-added from ALCH (Chems)
Stealth Boy Mark III							chem	1		auto-added from ALCH (Chems)
Steel Scrap									1	auto-added from COBJ; set skip=0 to sell
Steeped Ash Rose Tea	25	35	35	30	30	XP,Herbivore,Hybrid				
Steeped Aster Tea	30	40	40	30	30					
Steeped Carrot Flower Tea									1	auto-added from COBJ; set skip=0 to sell
Steeped Fern Flower Tea	25	35	35	30	30	Herbivore,Hybrid				
Steeped Fever Blossom Tea	25	35	35	30	30					
Steeped Gourd Blossom Tea	25	35	35	30	30	Herbivore,Hybrid				
Steeped Melon Bloom Tea									1	auto-added from COBJ; set skip=0 to sell
Steeped Melon Blossom Chai	25	35	35	30	30	Herbivore,Hybrid				
Steeped Strangler Bloom Tea									1	auto-added from COBJ; set skip=0 to sell
Steeped Strangler Pod Tea	35	45	45	30	30	Herbivore				
Steeped Tato Flower Tea	30	40	40	30	30					
Steeped Thistle Tea	25	35	35	30	30					
Stimpak	5	15	15	50	100					
Stimpak Diffuser	20	30	30	50	100					
Stimpak Diluted	5	15	15	50	100		chem	1		
Stimpak Super	15	25	25	50	100		chem	1		
Stimpak: Diluted									1	auto-added from COBJ; set skip=0 to sell
Stimpak: Super									1	auto-added from COBJ; set skip=0 to sell
Stingwing Filet	15	25	25	30	30					
Stingwing Stew	25	35	35	30	30	Carnivore				
